FORMATNAME;Формат 4.0;
TYPEZ;О;
FNAME;40-lgt.dbf;
ZAPV;В4.0;
BEGIN;;
NPERS;14;Страховой номер индивидуального лицевого счета застрахованного лица в ПФР(СНИЛС):   ХХХ-ХХХ-ХХХ ХХ
REG;3;Код региона из классификатора территорий ПФР (таблица 6) 
RA;3;Код района из классификатора территорий ПФР
FAM;40;Фамилия
IM;40;Имя
OT;40;Отчество (В случае отсутствия отчества по документам - заполняется пробелами)
POL;1;Пол (М/Ж)
RDAT;10;Дата рождения: ГГГГ/ММ/ДД
GRAJD;40;Гражданство 
KODFP;1;Код формы проживания, если иностранный гражданин или лицо без гражданства (1-имеет вид на жительство, 0-не имеет вид на жительство, пробел - не определено)
KODDOC;14;Код документа, удостоверяющего личность (п. 11 примечаний).
NAMDOC;80;Наименование документа, удостоверяющего личность (п. 11 примечаний).
SERDOC;8;Серия документа, удостоверяющего личность (2 цифры и 2 цифры, или буквы и римские цифры для старого паспорта).
NOMDOC;8;Номер документа, удостоверяющего личность
DATVDOC;10;Дата выдачи документа удостоверяющего личность: ГГГГ/ММ/ДД
ORGDOC;80;Наименование органа, выдавшего документ 
ADRREG;200;Адрес места регистрации (п. 6 примечаний)
ADRFACT;200;Адрес фактический.
NP;1;Место проживания: Г - город, С - село, пробел - нет данных.
KOLLG;3;Количество записей о праве на получение ГСП (п.10 примечаний).
L1;3;Код категории, по которой гражданину установлена ГСП (за исключением граждан, указанных в статье 6.7 Федерального закона от 17.07.1999 №178-ФЗ (п.8  примечаний)). Нули (000) - такой категории нет.
L2;3;Код категории, по которой гражданину установлена ГСП (для граждан, указанных в статье 6.7 Федерального закона от 17.07.1999 №178-ФЗ (п.8 примечаний)). Нули (000) - такой категории нет. 
N1;1;Признак предоставления (отказа от) набора социальных услуг № 1:          Д-получает, Н-не получает (п. 4 примечаний).
N2;1;Признак предоставления (отказа от) набора социальных услуг № 2:           Д-получает, Н-не получает (п. 4 примечаний).
N3;1;Признак предоставления (отказа от) набора социальных услуг ( п.4 примечаний).
DATFED;10;Дата включения в федеральный регистр: ГГГГ/ММ/ДД (п. 12 примечаний)
DIF;10;Дата исключения из федерального регистра: ГГГГ/ММ/ДД (п. 13 примечаний)
DATREG;10;Дата включения в региональный сегмент федерального регистра: ГГГГ/ММ/ДД (п. 14 примечаний)
DIRE;10;Дата исключения из регионального сегмента федерального регистра: ГГГГ/ММ/ДД (п. 15 примечаний)
KIZ;2;Код изменения (п. 7 примечаний)
PENSION;1;Признак получения пенсии в ПФР (Д - пенсионер, Н - нет)
SUMEDV;10;Общая сумма установленной ежемесячной денежной выплаты 
TEL;20;Контактный телефон
LN;10;Номер выплатного дела получателя ежемесячной денежной выплаты 
NSU1;1;Признак получения заявления на предоставление  (отказа от) набора социальных услуг № 1:          Д-получает, Н-не получает (п. 16 примечаний).
NSU2;1;Признак получения заявления на предоставление (отказа от) набора социальных услуг № 2:          Д-получает, Н-не получает (п. 16 примечаний).
NSU3;1;Признак получения заявления на предоставление (отказа от) набора социальных услуг:         (п. 16 примечаний).
PRIM;100;Пояснения к информации
REZERV;30;Резерв (временно старый СНИЛС) (п. 17 примечаний)
END;;
TYPEZ;Л;
FNAME;40-zl.dbf;
BEGIN;;
KATEG;3;Код категории, в соответствии с которой гражданин имеет  право на ГСП  (п. 8 примечаний)
NAMEPUD;80;Наименование документа, подтверждающего право на ГСП
SERPUD;8;Серия документа, подтверждающего право на ГСП
NOMPUD;10;Номер документа, подтверждающего право на ГСП(В формате 8, но фактически всегда было 10)
DATVPUD;10;Дата выдачи документа, подтверждающего право на ГСП: ГГГГ/ММ/ДД
ORGPUD;80;Наименование органа, выдавшего документ, подтверждающий право на ГСП
DNLG;10;Дата начала действия права на ГСП:  ГГГГ/ММ/ДД
DKLG;10;Дата окончания действия права на ГСП:   ГГГГ/ММ/ДД
PRKAT;1;Признак кем установлена категория, дающая право на ГСП  (Г- гражданином, А - автоматизировано, пробел - категория не установлена)
REZERV;10;Резерв
END;;
