FORMATNAME;Формат 6.3;
TYPEZ;О;
FNAME;63-lgt.dbf;
ZAPV;В6.3;
BEGIN;;
NPERS;14;Страховой номер индивидуального лицевого счета застрахованного лица (СНИЛС):999-999-999 99 (п. 3 примечаний)
OKATO;5;Код региона по ОКАТО (п. 4 примечаний)
REG;3;Код ОПФР (п. 4 примечаний)
RA;3;Код района (по классификатору территориальных органов  ПФР)
FAM;40;Фамилия
IM;40;Имя
OT;40;Отчество (в случае отсутствия отчества по документам, удостоверяющим личность гражданина, заполняется пробелами)
POL;1;Пол (М/Ж)
RDAT;10;Стандартная дата рождения: ГГГГ/ММ/ДД (п. 5 примечаний)
RSTRANA;40;Страна рождения (п. 6 примечаний)
RREG;40;Регион рождения (Республика, край, область)(п. 7 примечаний)
RRA;40;Район рождения  (п. 8 примечаний)
RNP;40;Населенный  пункт  места  рождения  (город, село, деревня, …) (п. 9 примечаний)
GRAJD;40;Гражданство (п. 10 примечаний)
KODFP;1;Код формы проживания, если иностранный гражданин или лицо без гражданства (1 - имеет вид на жительство, 0 - не имеет вид на жительство, пробел, (п. 11 примечаний)) 
KODDOC;14;Код документа, удостоверяющего личность (п.12 примечаний)
SERDOC;9;Серия документа, удостоверяющего личность (п.12 примечаний)
NOMDOC;8;Номер документа, удостоверяющего личность (п.12 примечаний)
DATVDOC;10;Дата выдачи документа, удостоверяющего личность: ГГГГ/ММ/ДД (п.13 примечаний)
ORGDOC;80;Наименование органа, выдавшего документ, удостоверяющий личность
MRINDEX;6;Почтовый индекс места регистрации (п. 14 примечаний)
MRREG;50;Регион места регистрации (п. 14 примечаний)
MRRA;50;Район места регистрации (п. 14 примечаний)
MRNP;50;Населенный пункт места регистрации (п. 14 примечаний)
MRUL;40;Улица места регистрации (п. 14 примечаний)
MRDOM;8;Дом места регистрации (п. 14 примечаний)
MRKORP;15;Корпус места регистрации (п. 14 примечаний)
MRKVA;6;Квартира места регистрации (п. 14 примечаний)
FPINDEX;6;Почтовый индекс фактического места пребывания (п. 15 примечаний)
FPREG;50;Регион фактического места пребывания (п. 15 примечаний)
FPRA;50;Район фактического места пребывания (п. 15 примечаний)
FPNP;50;Населенный пункт фактического места пребывания(п. 15 примечаний)
FPUL;40;Улица фактического места пребывания (п. 15 примечаний)
FPPDOM;8;Дом фактического места пребывания (п. 15 примечаний)
FPKORP;15;Корпус фактического места пребывания (п. 15 примечаний)
FPKVA;6;Квартира фактического места пребывания (п. 15 примечаний)
NP;1;Место проживания: Г - город, С - село
KOLLG;3;Количество записей о праве на получение ЕДВ (п.16 примечаний)
L1;3;Код категории, по которой гражданину установлена ЕДВ (за исключением граждан, указанных в статье 6.7 Федерального закона от 17.07.1999 № 178-ФЗ). Нули (000) - такой категории нет (п. 17 примечаний)
L2;3;Код категории, по которой гражданину установлена ЕДВ (для граждан, указанных в статье 6.7 Федерального закона от 17.07.1999 № 178-ФЗ). Нули (000) - такой категории нет(п. 17 примечаний)
N1;1;Признак получения (отказа от) набора социальных услуг в текущем году  № 1: Д - получает, Н - не получает (п.18 примечаний)
N2;1;Признак получения (отказа от) набора социальных услуг в текущем году  № 2:  Д - получает, Н - не получает (п. 19 примечаний)
N3;1;Признак получения (отказа от) набора социальных услуг в текущем году  № 3:  Д - получает, Н - не получает (п. 20 примечаний)
DATFED;10;Дата включения в Федеральный регистр: ГГГГ/ММ/ДД (п.21 примечаний)
DIF;10;Дата исключения из Федерального регистра: ГГГГ/ММ/ДД (п.22 примечаний)
DATREG;10;Дата включения в региональный сегмент Федерального регистра: ГГГГ/ММ/ДД (п.23 примечаний)
DIRE;10;Дата исключения из регионального сегмента Федерального регистра: ГГГГ/ММ/ДД (п. 24 примечаний)
KIZ;2;Код изменения получателя ЕДВ (п. 25 примечаний)
PENSION;1; Признак получения пенсии в ПФР (Д - пенсионер, Н - нет, В - получатель пенсии в ПФР и (или) другом ведомстве 
SUMEDV;15;Общая сумма установленной ЕДВ
SUMEDV1;15;Размер установленной ЕДВ 1
SUMEDV2;15;Размер установленной ЕДВ 2
TEL;20;Контактный телефон
LN;14;Номер выплатного дела получателя  ЕДВ
NSU1;1;Признак получения (отказа от) набора социальных услуг № 1 на следующий год:Д - получает, Н - не получает, (п. 26 примечаний)
